epoch,top_k,valid_auc,entropy_l0,entropy_l1,entropy_l2,entropy_mean,divergence_ratio,lb_loss,wall_clock_sec
1,4,0.7798,0.5550,1.1941,1.0232,0.9241,0.67,0.000000,56.7
2,4,0.7797,0.6129,1.0186,0.8333,0.8216,0.67,0.000000,55.8
3,4,0.7789,0.5135,0.8412,0.6880,0.6809,0.67,0.000000,56.6
4,4,0.7781,0.4857,0.7168,0.5839,0.5954,0.67,0.000000,56.2
5,2,0.7754,0.8195,0.5850,0.4606,0.6217,0.67,0.007736,58.4
6,2,0.7734,0.8884,0.5163,0.4135,0.6061,0.67,0.007318,57.9
7,2,0.7710,0.9269,0.4785,0.3824,0.5959,0.67,0.007160,57.2
8,2,0.7696,0.9158,0.4506,0.3565,0.5743,0.67,0.007032,58.4
9,2,0.7671,0.9964,0.4340,0.3395,0.5900,0.67,0.006921,57.8
10,2,0.7657,1.0101,0.4168,0.3243,0.5837,0.67,0.006826,58.2
11,2,0.7630,1.0133,0.4050,0.3123,0.5769,0.67,0.006750,57.7
12,2,0.7609,1.0357,0.3960,0.3042,0.5786,0.67,0.006675,61.1
