epoch,top_k,valid_auc,entropy_l0,entropy_l1,entropy_l2,entropy_mean,divergence_ratio,lb_loss,wall_clock_sec
1,4,0.7785,1.2915,1.1532,1.0732,1.1727,1.00,0.000000,41.8
2,4,0.7790,1.2440,1.0322,0.9317,1.0693,1.00,0.000000,39.7
3,4,0.7779,1.1763,0.9151,0.7958,0.9624,1.00,0.000000,38.0
4,4,0.7764,1.1605,0.8498,0.7015,0.9039,1.00,0.000000,30.7
5,4,0.7748,1.1258,0.7638,0.6135,0.8344,1.00,0.000000,35.6
6,4,0.7736,1.1087,0.7355,0.5620,0.8020,1.00,0.000000,32.9
7,4,0.7708,1.0860,0.7058,0.5167,0.7695,1.00,0.000000,32.0
8,4,0.7692,1.0670,0.6882,0.4922,0.7492,1.00,0.000000,35.9
9,4,0.7671,1.0548,0.6585,0.4575,0.7236,1.00,0.000000,30.0
10,4,0.7655,1.0469,0.6482,0.4455,0.7135,1.00,0.000000,38.2
11,4,0.7633,1.0389,0.6386,0.4208,0.6994,1.00,0.000000,30.8
12,4,0.7613,1.0324,0.6352,0.4065,0.6914,1.00,0.000000,34.9
13,4,0.7591,1.0190,0.6211,0.3943,0.6781,1.00,0.000000,33.5
14,4,0.7579,1.0169,0.6189,0.3827,0.6728,1.00,0.000000,31.7
15,4,0.7562,1.0143,0.6112,0.3707,0.6654,1.00,0.000000,37.2
16,4,0.7531,1.0103,0.6146,0.3589,0.6612,1.00,0.000000,29.9
17,4,0.7519,1.0057,0.6044,0.3568,0.6556,1.00,0.000000,37.6
18,4,0.7505,1.0068,0.5978,0.3441,0.6496,1.00,0.000000,32.0
19,4,0.7491,1.0045,0.5993,0.3406,0.6481,1.00,0.000000,33.6
20,4,0.7457,1.0006,0.5894,0.3264,0.6388,1.00,0.000000,35.2
21,4,0.7458,1.0016,0.5922,0.3229,0.6389,1.00,0.000000,30.7
22,4,0.7439,0.9991,0.5884,0.3175,0.6350,1.00,0.000000,37.9
23,4,0.7436,0.9947,0.5835,0.3146,0.6309,1.00,0.000000,30.8
24,4,0.7412,1.0056,0.5888,0.3086,0.6343,1.00,0.000000,36.2
25,4,0.7413,0.9977,0.5843,0.3074,0.6298,1.00,0.000000,33.2
26,4,0.7395,0.9975,0.5805,0.2988,0.6256,1.00,0.000000,32.2
27,4,0.7380,0.9999,0.5772,0.2935,0.6235,1.00,0.000000,37.1
28,4,0.7387,0.9910,0.5730,0.2897,0.6179,1.00,0.000000,30.1
