epoch,top_k,valid_auc,entropy_l0,entropy_l1,entropy_l2,entropy_mean,divergence_ratio,lb_loss,wall_clock_sec
1,4,0.7786,1.1845,1.0367,0.8965,1.0392,1.00,0.000000,55.0
2,4,0.7792,1.1142,0.9429,0.7889,0.9487,1.00,0.000000,40.4
3,4,0.7793,1.0627,0.8656,0.7295,0.8859,1.00,0.000000,36.7
4,4,0.7783,0.9959,0.7868,0.6481,0.8103,1.00,0.000000,29.0
5,4,0.7778,0.9342,0.7327,0.5869,0.7513,1.00,0.000000,38.2
6,4,0.7769,0.8835,0.6727,0.5378,0.6980,1.00,0.000000,29.8
7,4,0.7752,0.8386,0.6302,0.5067,0.6585,1.00,0.000000,35.4
8,4,0.7744,0.7951,0.5969,0.4703,0.6207,1.00,0.000000,32.9
9,4,0.7725,0.7622,0.5694,0.4365,0.5893,1.00,0.000000,31.8
10,4,0.7708,0.7404,0.5450,0.4181,0.5679,1.00,0.000000,36.9
11,4,0.7694,0.7294,0.5358,0.4115,0.5589,1.00,0.000000,29.1
12,4,0.7674,0.7088,0.5124,0.3928,0.5380,1.00,0.000000,38.1
13,4,0.7666,0.6940,0.5068,0.3797,0.5268,1.00,0.000000,30.1
14,4,0.7642,0.6885,0.4923,0.3694,0.5167,1.00,0.000000,35.1
15,4,0.7629,0.6885,0.4865,0.3589,0.5113,1.00,0.000000,33.5
16,4,0.7613,0.6799,0.4785,0.3513,0.5032,1.00,0.000000,31.3
17,4,0.7599,0.6754,0.4704,0.3483,0.4981,1.00,0.000000,37.3
18,4,0.7575,0.6734,0.4647,0.3384,0.4922,1.00,0.000000,28.8
19,4,0.7568,0.6686,0.4612,0.3358,0.4885,1.00,0.000000,37.7
20,4,0.7541,0.6627,0.4549,0.3309,0.4828,1.00,0.000000,30.6
21,4,0.7542,0.6621,0.4485,0.3266,0.4791,1.00,0.000000,34.7
22,4,0.7520,0.6643,0.4461,0.3243,0.4782,1.00,0.000000,34.1
23,4,0.7516,0.6561,0.4417,0.3178,0.4719,1.00,0.000000,30.7
24,4,0.7502,0.6521,0.4388,0.3139,0.4683,1.00,0.000000,37.7
25,4,0.7485,0.6559,0.4337,0.3097,0.4664,1.00,0.000000,29.2
26,4,0.7465,0.6567,0.4315,0.3105,0.4662,1.00,0.000000,37.1
27,4,0.7452,0.6541,0.4306,0.3093,0.4646,1.00,0.000000,31.3
28,4,0.7459,0.6559,0.4279,0.3060,0.4633,1.00,0.000000,34.1
29,4,0.7436,0.6526,0.4277,0.3015,0.4606,1.00,0.000000,35.0
30,4,0.7422,0.6509,0.4253,0.2990,0.4584,1.00,0.000000,30.4
