epoch,top_k,valid_auc,entropy_l0,entropy_l1,entropy_l2,entropy_mean,divergence_ratio,lb_loss,wall_clock_sec
1,4,0.7785,1.2915,1.1532,1.0732,1.1727,1.00,0.000000,41.6
2,4,0.7790,1.2440,1.0322,0.9317,1.0693,1.00,0.000000,40.1
3,2,0.7748,1.2949,0.8756,0.6713,0.9473,1.00,0.006138,55.8
4,2,0.7736,1.2925,0.8106,0.5744,0.8925,1.00,0.006085,61.2
5,2,0.7721,1.2733,0.7233,0.4971,0.8312,1.00,0.006074,60.3
6,2,0.7708,1.2521,0.6938,0.4336,0.7932,0.67,0.006061,54.9
7,2,0.7676,1.2494,0.6481,0.3968,0.7648,1.00,0.006053,57.1
8,2,0.7658,1.2363,0.6199,0.3522,0.7361,1.00,0.006047,61.7
9,2,0.7648,1.2066,0.5923,0.3278,0.7089,1.00,0.006044,59.8
10,2,0.7631,1.1861,0.5793,0.3055,0.6903,1.00,0.006043,54.7
11,2,0.7602,1.1860,0.5644,0.2898,0.6801,1.00,0.006039,57.5
12,2,0.7582,1.1739,0.5489,0.2738,0.6655,1.00,0.006039,61.4
13,2,0.7566,1.1718,0.5365,0.2578,0.6554,1.00,0.006037,58.5
14,2,0.7550,1.1668,0.5298,0.2466,0.6477,1.00,0.006033,55.6
15,2,0.7538,1.1514,0.5116,0.2335,0.6322,1.00,0.006032,58.2
16,2,0.7515,1.1392,0.5063,0.2255,0.6237,1.00,0.006031,60.2
17,2,0.7494,1.1445,0.5022,0.2188,0.6218,1.00,0.006027,57.2
