epoch,top_k,valid_auc,entropy_l0,entropy_l1,entropy_l2,entropy_mean,divergence_ratio,lb_loss,wall_clock_sec
1,4,0.7798,0.3052,0.5690,0.5561,0.4768,0.67,0.000000,59.4
2,4,0.7793,0.3384,0.4553,0.3855,0.3931,0.67,0.000000,61.8
3,2,0.7778,0.7832,0.3907,0.2584,0.4774,0.67,0.008005,62.7
4,2,0.7768,0.7897,0.3466,0.2275,0.4546,0.67,0.007456,62.1
5,2,0.7757,0.9502,0.3072,0.1989,0.4855,0.67,0.007199,60.4
6,2,0.7738,0.9242,0.2801,0.1836,0.4626,0.67,0.007008,58.4
7,2,0.7718,0.9348,0.2632,0.1708,0.4563,0.67,0.006882,59.3
8,2,0.7699,0.9116,0.2482,0.1643,0.4414,0.67,0.006782,59.7
9,2,0.7681,0.8779,0.2367,0.1542,0.4229,0.67,0.006695,59.6
10,2,0.7661,0.8439,0.2275,0.1469,0.4061,0.67,0.006640,59.2
11,2,0.7640,0.8541,0.2239,0.1438,0.4073,0.67,0.006600,59.0
12,2,0.7624,0.8332,0.2216,0.1385,0.3978,0.67,0.006572,54.4
