epoch,top_k,valid_auc,entropy_l0,entropy_l1,entropy_l2,entropy_mean,divergence_ratio,lb_loss,wall_clock_sec
1,4,0.7783,1.2980,1.1278,1.0812,1.1690,1.00,0.000000,42.8
2,4,0.7795,1.2098,0.9924,0.9188,1.0403,1.00,0.000000,39.3
3,2,0.7751,1.3084,0.8632,0.6988,0.9568,1.00,0.006219,56.3
4,2,0.7733,1.2935,0.7917,0.5710,0.8854,1.00,0.006126,61.2
5,2,0.7717,1.2796,0.7207,0.4870,0.8291,1.00,0.006112,59.5
6,2,0.7695,1.2481,0.6862,0.4451,0.7931,1.00,0.006101,54.4
7,2,0.7685,1.2375,0.6322,0.3894,0.7530,1.00,0.006094,57.8
8,2,0.7668,1.2386,0.6016,0.3387,0.7263,1.00,0.006089,61.3
9,2,0.7649,1.2192,0.5779,0.3225,0.7065,1.00,0.006080,58.1
10,2,0.7617,1.2025,0.5642,0.3020,0.6896,1.00,0.006079,55.2
11,2,0.7603,1.1821,0.5534,0.2890,0.6748,1.00,0.006078,58.5
12,2,0.7571,1.1741,0.5377,0.2683,0.6600,1.00,0.006071,59.9
13,2,0.7579,1.1836,0.5293,0.2511,0.6546,1.00,0.006073,56.3
14,2,0.7554,1.1642,0.5103,0.2374,0.6373,1.00,0.006072,57.2
15,2,0.7528,1.1664,0.5038,0.2311,0.6337,1.00,0.006071,59.3
16,2,0.7528,1.1459,0.5002,0.2207,0.6222,1.00,0.006072,58.1
17,2,0.7504,1.1457,0.4943,0.2098,0.6166,1.00,0.006070,57.1
