epoch,top_k,valid_auc,entropy_l0,entropy_l1,entropy_l2,entropy_mean,divergence_ratio,lb_loss,wall_clock_sec
1,4,0.7783,1.2980,1.1278,1.0812,1.1690,1.00,0.000000,42.5
2,4,0.7795,1.2098,0.9924,0.9188,1.0403,1.00,0.000000,39.0
3,4,0.7784,1.1786,0.8891,0.8068,0.9582,1.00,0.000000,37.9
4,4,0.7769,1.1541,0.8226,0.7164,0.8977,1.00,0.000000,31.4
5,4,0.7753,1.0964,0.7496,0.6213,0.8224,1.00,0.000000,34.5
6,4,0.7731,1.0850,0.7312,0.5714,0.7959,1.00,0.000000,34.4
7,4,0.7718,1.0783,0.6875,0.5249,0.7635,1.00,0.000000,31.0
8,4,0.7692,1.0536,0.6680,0.4881,0.7366,1.00,0.000000,37.3
9,4,0.7676,1.0596,0.6507,0.4714,0.7272,1.00,0.000000,30.1
10,4,0.7651,1.0349,0.6403,0.4571,0.7108,1.00,0.000000,37.1
11,4,0.7630,1.0317,0.6390,0.4392,0.7033,1.00,0.000000,33.0
12,4,0.7601,1.0334,0.6297,0.4244,0.6958,1.00,0.000000,32.7
13,4,0.7598,1.0234,0.6180,0.4093,0.6836,1.00,0.000000,35.8
14,4,0.7580,1.0115,0.6113,0.3974,0.6734,1.00,0.000000,30.1
15,4,0.7559,1.0177,0.6156,0.3899,0.6744,1.00,0.000000,37.9
16,4,0.7539,1.0072,0.6018,0.3790,0.6627,1.00,0.000000,31.3
17,4,0.7517,0.9983,0.5955,0.3723,0.6553,1.00,0.000000,35.1
18,4,0.7501,1.0083,0.5979,0.3685,0.6582,1.00,0.000000,34.1
19,4,0.7481,1.0003,0.5942,0.3575,0.6507,1.00,0.000000,31.1
20,4,0.7471,0.9958,0.5960,0.3501,0.6473,1.00,0.000000,37.3
21,4,0.7461,0.9925,0.5882,0.3422,0.6410,1.00,0.000000,29.9
22,4,0.7449,0.9967,0.5871,0.3391,0.6410,1.00,0.000000,37.5
23,4,0.7439,0.9944,0.5861,0.3267,0.6357,1.00,0.000000,32.6
24,4,0.7412,0.9965,0.5790,0.3230,0.6329,1.00,0.000000,33.0
25,4,0.7412,0.9884,0.5790,0.3195,0.6290,1.00,0.000000,36.1
26,4,0.7396,0.9957,0.5760,0.3165,0.6294,1.00,0.000000,29.9
27,4,0.7381,0.9923,0.5780,0.3097,0.6267,1.00,0.000000,38.1
28,4,0.7389,0.9945,0.5763,0.3085,0.6265,1.00,0.000000,31.1
29,4,0.7375,0.9892,0.5768,0.3011,0.6224,1.00,0.000000,35.5
30,4,0.7363,0.9876,0.5736,0.2984,0.6199,1.00,0.000000,27.0
