epoch,top_k,valid_auc,entropy_l0,entropy_l1,entropy_l2,entropy_mean,divergence_ratio,lb_loss,wall_clock_sec
1,4,0.7786,1.1845,1.0367,0.8965,1.0392,1.00,0.000000,43.9
2,4,0.7792,1.1142,0.9429,0.7889,0.9487,1.00,0.000000,40.1
3,2,0.7785,1.0177,0.7769,0.6238,0.8061,1.00,0.006074,60.0
4,2,0.7773,0.9455,0.7122,0.5547,0.7375,1.00,0.006047,61.3
5,2,0.7768,0.8913,0.6579,0.4991,0.6828,1.00,0.006040,56.8
6,2,0.7759,0.8451,0.5918,0.4523,0.6297,1.00,0.006035,55.2
7,2,0.7743,0.7987,0.5522,0.4196,0.5901,1.00,0.006032,60.4
8,2,0.7734,0.7643,0.5242,0.3865,0.5584,1.00,0.006032,60.6
9,2,0.7714,0.7286,0.4983,0.3626,0.5298,1.00,0.006030,55.5
10,2,0.7698,0.7091,0.4767,0.3328,0.5062,1.00,0.006028,56.7
11,2,0.7686,0.6957,0.4587,0.3223,0.4922,1.00,0.006026,60.8
12,2,0.7665,0.6750,0.4424,0.3029,0.4735,1.00,0.006025,58.8
13,2,0.7650,0.6659,0.4316,0.2955,0.4643,1.00,0.006025,55.3
14,2,0.7628,0.6566,0.4161,0.2823,0.4517,1.00,0.006025,57.6
15,2,0.7619,0.6499,0.4086,0.2719,0.4435,1.00,0.006024,60.5
16,2,0.7599,0.6463,0.3993,0.2655,0.4370,1.00,0.006024,58.2
17,2,0.7595,0.6434,0.3920,0.2576,0.4310,1.00,0.006024,56.3
