E17 S 臂 seed=202 device=cuda:1 target=s0 out=cache/adatask_win_s0_27k_siteA
[S s202] epoch 0 valid_macro=0.723901 loss=0.463389 skip=0 (505.5s, best=0.723901@0)
[S s202] epoch 1 valid_macro=0.731706 loss=0.457485 skip=0 (507.1s, best=0.731706@1)
[S s202] epoch 2 valid_macro=0.735025 loss=0.455914 skip=0 (512.2s, best=0.735025@2)
[S s202] epoch 3 valid_macro=0.737982 loss=0.454916 skip=0 (525.0s, best=0.737982@3)
[S s202] epoch 4 valid_macro=0.738315 loss=0.454207 skip=0 (577.1s, best=0.738315@4)
[S s202] epoch 5 valid_macro=0.739877 loss=0.453712 skip=0 (547.8s, best=0.739877@5)
[S s202] epoch 6 valid_macro=0.738513 loss=0.453326 skip=0 (496.1s, best=0.739877@5)
[S s202] epoch 7 valid_macro=0.738760 loss=0.453020 skip=0 (510.5s, best=0.739877@5)
[S s202] epoch 8 valid_macro=0.740192 loss=0.452786 skip=0 (521.6s, best=0.740192@8)
[S s202] epoch 9 valid_macro=0.739501 loss=0.452586 skip=0 (556.6s, best=0.740192@8)
[S s202] epoch 10 valid_macro=0.738670 loss=0.452425 skip=0 (553.4s, best=0.740192@8)
[S s202] epoch 11 valid_macro=0.739509 loss=0.452288 skip=0 (533.7s, best=0.740192@8)
[S s202] epoch 12 valid_macro=0.739460 loss=0.452173 skip=0 (535.8s, best=0.740192@8)
[S s202] epoch 13 valid_macro=0.739340 loss=0.452077 skip=0 (543.4s, best=0.740192@8)
[S s202] epoch 14 valid_macro=0.738656 loss=0.451988 skip=0 (544.3s, best=0.740192@8)
[S s202] epoch 15 valid_macro=0.739961 loss=0.451911 skip=0 (522.4s, best=0.740192@8)
[S s202] epoch 16 valid_macro=0.739436 loss=0.451845 skip=0 (522.3s, best=0.740192@8)
[S s202] epoch 17 valid_macro=0.739154 loss=0.451777 skip=0 (540.7s, best=0.740192@8)
[S s202] epoch 18 valid_macro=0.739391 loss=0.451717 skip=0 (544.5s, best=0.740192@8)
[S s202] 完成 → cache/adatask_win_s0_27k_siteA/run_e17_S_s202.json best_valid_macro=0.740192@8 test_s0=0.7097890995578137
E17 T 臂 seed=202 device=cuda:1 target=s0 out=cache/adatask_win_s0_27k_siteA
[T s202] epoch 0 valid_macro=0.721365 loss=0.464305 skip=0 (1000.4s, best=0.721365@0)
[T s202] epoch 1 valid_macro=0.729751 loss=0.457992 skip=0 (979.6s, best=0.729751@1)
[T s202] epoch 2 valid_macro=0.735824 loss=0.456342 skip=0 (1039.2s, best=0.735824@2)
[T s202] epoch 3 valid_macro=0.736034 loss=0.455386 skip=0 (995.2s, best=0.736034@3)
[T s202] epoch 4 valid_macro=0.736527 loss=0.454736 skip=0 (1002.4s, best=0.736527@4)
[T s202] epoch 5 valid_macro=0.738486 loss=0.454266 skip=0 (1035.0s, best=0.738486@5)
[T s202] epoch 6 valid_macro=0.738332 loss=0.453858 skip=0 (1052.3s, best=0.738486@5)
[T s202] epoch 7 valid_macro=0.739292 loss=0.453562 skip=0 (994.5s, best=0.739292@7)
[T s202] epoch 8 valid_macro=0.738788 loss=0.453327 skip=0 (966.6s, best=0.739292@7)
[T s202] epoch 9 valid_macro=0.738735 loss=0.453148 skip=0 (998.0s, best=0.739292@7)
[T s202] epoch 10 valid_macro=0.738802 loss=0.452997 skip=0 (962.5s, best=0.739292@7)
[T s202] epoch 11 valid_macro=0.739362 loss=0.452867 skip=0 (1010.6s, best=0.739362@11)
[T s202] epoch 12 valid_macro=0.738785 loss=0.452758 skip=0 (1035.1s, best=0.739362@11)
[T s202] epoch 13 valid_macro=0.739106 loss=0.452670 skip=0 (1032.1s, best=0.739362@11)
[T s202] epoch 14 valid_macro=0.738529 loss=0.452586 skip=0 (997.4s, best=0.739362@11)
[T s202] epoch 15 valid_macro=0.737815 loss=0.452509 skip=0 (1001.6s, best=0.739362@11)
