epoch,top_k,valid_auc,entropy_l0,entropy_l1,entropy_l2,entropy_mean,divergence_ratio,lb_loss,wall_clock_sec
1,4,0.7782,1.2379,1.2171,1.0966,1.1839,0.67,0.000000,56.0
2,4,0.7778,1.1438,1.0426,0.9097,1.0320,1.00,0.000000,57.9
3,2,0.7734,1.3099,0.7515,0.5359,0.8658,1.00,0.006785,55.7
4,2,0.7708,1.2779,0.6622,0.4388,0.7930,1.00,0.006315,58.6
5,2,0.7672,1.2816,0.6181,0.3954,0.7650,1.00,0.006297,57.6
6,2,0.7653,1.2147,0.5741,0.3404,0.7097,1.00,0.006302,57.3
7,2,0.7636,1.2652,0.5471,0.3163,0.7095,1.00,0.006307,56.0
8,2,0.7613,1.2158,0.5369,0.3011,0.6846,1.00,0.006301,56.5
9,2,0.7597,1.1747,0.5197,0.2761,0.6568,1.00,0.006306,57.6
10,2,0.7582,1.1696,0.5072,0.2600,0.6456,1.00,0.006304,57.6
11,2,0.7552,1.1865,0.4981,0.2479,0.6441,1.00,0.006302,58.3
12,2,0.7529,1.1844,0.4879,0.2371,0.6365,1.00,0.006305,57.4
