epoch,top_k,valid_auc,entropy_l0,entropy_l1,entropy_l2,entropy_mean,divergence_ratio,lb_loss,wall_clock_sec
1,4,0.7788,1.1897,1.0692,0.9292,1.0627,1.00,0.000000,58.0
2,4,0.7798,1.1109,0.9430,0.8439,0.9659,1.00,0.000000,40.4
3,4,0.7794,1.0685,0.8689,0.7702,0.9025,1.00,0.000000,36.7
4,4,0.7790,1.0179,0.8026,0.7091,0.8432,1.00,0.000000,29.4
5,4,0.7784,0.9629,0.7345,0.6459,0.7811,1.00,0.000000,37.5
6,4,0.7771,0.9128,0.6731,0.5907,0.7255,1.00,0.000000,30.4
7,4,0.7758,0.8663,0.6453,0.5462,0.6859,1.00,0.000000,34.9
8,4,0.7749,0.8238,0.6071,0.5148,0.6486,1.00,0.000000,33.7
9,4,0.7734,0.7868,0.5749,0.4816,0.6144,1.00,0.000000,31.2
10,4,0.7708,0.7680,0.5574,0.4647,0.5967,1.00,0.000000,37.0
11,4,0.7695,0.7503,0.5314,0.4449,0.5755,1.00,0.000000,29.3
12,4,0.7681,0.7340,0.5190,0.4261,0.5597,1.00,0.000000,37.4
13,4,0.7661,0.7220,0.5087,0.4120,0.5476,1.00,0.000000,31.2
14,4,0.7657,0.7123,0.4979,0.4062,0.5388,1.00,0.000000,34.2
15,4,0.7632,0.7092,0.4887,0.3916,0.5298,1.00,0.000000,34.6
16,4,0.7619,0.7032,0.4849,0.3847,0.5243,1.00,0.000000,30.4
17,4,0.7600,0.7000,0.4734,0.3755,0.5163,1.00,0.000000,37.5
18,4,0.7589,0.6963,0.4718,0.3721,0.5134,1.00,0.000000,29.7
19,4,0.7569,0.6939,0.4643,0.3616,0.5066,1.00,0.000000,36.6
20,4,0.7551,0.6889,0.4624,0.3584,0.5032,1.00,0.000000,32.3
21,4,0.7532,0.6849,0.4530,0.3529,0.4969,1.00,0.000000,32.9
22,4,0.7528,0.6869,0.4562,0.3482,0.4971,1.00,0.000000,35.9
23,4,0.7510,0.6815,0.4496,0.3432,0.4914,1.00,0.000000,29.7
24,4,0.7495,0.6804,0.4443,0.3395,0.4881,1.00,0.000000,37.7
25,4,0.7483,0.6807,0.4416,0.3367,0.4863,1.00,0.000000,30.5
26,4,0.7477,0.6784,0.4423,0.3337,0.4848,1.00,0.000000,35.3
27,4,0.7461,0.6774,0.4353,0.3286,0.4805,1.00,0.000000,33.5
28,4,0.7462,0.6800,0.4369,0.3307,0.4825,1.00,0.000000,31.6
29,4,0.7440,0.6788,0.4324,0.3244,0.4785,1.00,0.000000,37.1
30,4,0.7436,0.6808,0.4341,0.3241,0.4797,1.00,0.000000,29.6
