epoch,top_k,valid_auc,entropy_l0,entropy_l1,entropy_l2,entropy_mean,divergence_ratio,lb_loss,wall_clock_sec
1,4,0.7798,0.9740,1.1900,1.0970,1.0870,0.67,0.000000,56.2
2,4,0.7794,0.9319,1.0142,0.8906,0.9455,0.67,0.000000,58.0
3,4,0.7785,0.8524,0.8544,0.7316,0.8128,0.67,0.000000,58.1
4,4,0.7781,0.8589,0.7331,0.6222,0.7381,0.67,0.000000,59.9
5,2,0.7762,0.7948,0.5875,0.4876,0.6233,1.00,0.007114,60.6
6,2,0.7744,0.7910,0.5369,0.4398,0.5892,1.00,0.006948,58.3
7,2,0.7722,0.7727,0.4980,0.4100,0.5603,1.00,0.006884,58.5
8,2,0.7703,0.7695,0.4713,0.3814,0.5407,1.00,0.006842,60.0
9,2,0.7690,0.7954,0.4514,0.3630,0.5366,1.00,0.006806,57.8
10,2,0.7666,0.7789,0.4347,0.3482,0.5206,1.00,0.006776,58.2
11,2,0.7645,0.7969,0.4209,0.3350,0.5176,1.00,0.006746,57.1
12,2,0.7627,0.7861,0.4119,0.3237,0.5072,1.00,0.006718,57.9
